"Plant","Soil","Treat","Date","weight_g","dryWeight","plant_weight","pot_plus_plate_weight","bulkDen","totalLeafArea_cm2","GWC","VWC","nday"
127,"B","DRY",2018-05-22,3891.1,3284.5,19,97.4,1.44948840688983,159.418024,14.92464606485,21.6331014479341,7
130,"B","DRY",2018-05-31,3432,3042.6,29.8,89.7,1.38222730595672,522.56105,8.87070268849011,12.2613274790547,16
130,"B","DRY",2018-06-07,3341.1,3042.6,29.8,89.7,1.38222730595672,522.56105,5.88312627358181,8.13181777973619,23
130,"B","DRY",2018-05-22,3686.8,3042.6,29.8,89.7,1.38222730595672,522.56105,17.2451193058568,23.8366747990368,7
130,"B","DRY",2018-06-20,3269,3042.6,29.8,89.7,1.38222730595672,522.56105,3.51344245053573,4.85637609303798,36
130,"B","DRY",2018-05-16,4063.9,3042.6,29.8,89.7,1.38222730595672,522.56105,29.6391244330507,40.9680071160117,1
130,"B","DRY",2018-05-18,3980.9,3042.6,29.8,89.7,1.38222730595672,522.56105,26.9111943732334,37.1973876985921,3
130,"B","DRY",2018-06-13,3301.7,3042.6,29.8,89.7,1.38222730595672,522.56105,4.58818116084927,6.34190928520207,29
130,"B","DRY",2018-05-24,3613.2,3042.6,29.8,89.7,1.38222730595672,522.56105,14.8261355419707,20.4930893879273,9
138,"B","DRY",2018-06-20,2927.3,2715.5,24.5,90,1.31073034244012,295.18438,3.58313386116738,4.69652227285672,36
138,"B","DRY",2018-05-31,3053.6,2715.5,24.5,90,1.31073034244012,295.18438,8.23421101086356,10.7928302179934,16
138,"B","DRY",2018-05-16,3703.6,2715.5,24.5,90,1.31073034244012,295.18438,32.1708709261646,42.1673366656488,1
138,"B","DRY",2018-06-07,2983.1,2715.5,24.5,90,1.31073034244012,295.18438,5.63800405081937,7.38990298020927,23
138,"B","DRY",2018-05-18,3566.9,2715.5,24.5,90,1.31073034244012,295.18438,27.1368072178236,35.5690366173496,3
138,"B","DRY",2018-06-13,2951.2,2715.5,24.5,90,1.31073034244012,295.18438,4.46326643343767,5.85013874070126,29
138,"B","DRY",2018-05-24,3191.2,2715.5,24.5,90,1.31073034244012,295.18438,13.3014177867796,17.4345718906048,9
138,"B","DRY",2018-05-22,3265.3,2715.5,24.5,90,1.31073034244012,295.18438,16.0301970171239,21.0112656256375,7
141,"B","CONTROL",2018-05-24,3748,2894.27238285145,38.2,122.8,1.36018275605495,NA,23.9344306794676,32.5551998862044,9
141,"B","CONTROL",2018-05-16,3999.5,2894.27238285145,38.2,122.8,1.36018275605495,NA,32.6240067363079,44.3746113961465,1
141,"B","CONTROL",2018-05-18,3956.9,2894.27238285145,38.2,122.8,1.36018275605495,NA,31.1521342113719,42.3725957686175,3
141,"B","CONTROL",2018-05-22,3805.2,2894.27238285145,38.2,122.8,1.36018275605495,NA,25.9107477786774,35.2433523250461,7
141,"B","CONTROL",2018-06-07,4128.1,2894.27238285145,38.2,122.8,1.36018275605495,NA,37.0672651097062,50.4182548163396,23
141,"B","CONTROL",2018-06-13,4069,2894.27238285145,38.2,122.8,1.36018275605495,NA,35.0253011138443,47.6408106006832,29
141,"B","CONTROL",2018-05-31,4143.7,2894.27238285145,38.2,122.8,1.36018275605495,NA,37.6062606822179,51.15138729966,16
145,"B","DRY",2018-06-07,3686.6,3354.7,17,97.1,1.52401168188162,262.808941,6.49238381971563,9.89446878450583,23
145,"B","DRY",2018-05-24,3922.2,3354.7,17,97.1,1.52401168188162,262.808941,13.5153665007303,20.5975764320245,9
145,"B","DRY",2018-05-31,3784.5,3354.7,17,97.1,1.52401168188162,262.808941,9.41067755686053,14.3419825310766,16
145,"B","DRY",2018-05-18,4308.5,3354.7,17,97.1,1.52401168188162,262.808941,25.0305541479119,38.1468569253881,3
