Code_orig,Treat,Soil,Code,Plant,Type,Date,Time,delta_D_various,delta_O18_various,Comments
DRY_C183_ROOT_180531,DRY,C,C183,183,Root,180531,16,-39.13997487,-5.846766291,
DRY_C183_SOIL_180531,DRY,C,C183,183,Soil,180531,16,-31.82738103,-3.735315172,
DRY_C186_R_180531,DRY,C,C186,186,Root,180531,16,-40.87410636,-6.052002069,
DRY_C186_S_180531,DRY,C,C186,186,Stem,180531,16,-38.35233058,-4.06290241,
DRY_C186_SOIL_180531,DRY,C,C186,186,Soil,180531,16,-25.56657453,-3.1404427,
DRY_C210_R_180531,DRY,C,C210,210,Root,180531,16,-43.26996951,-4.156615939,
DRY_C210_S_180531,DRY,C,C210,210,Stem,180531,16,-39.71068208,-3.68210383,
DRY_C210_SOIL_180531,DRY,C,C210,210,Soil,180531,16,-33.94705622,-3.530696565,
DRY_C213_R_180531,DRY,C,C213,213,Root,180531,16,-36.58324923,-4.534664168,
DRY_C213_S_180531,DRY,C,C213,213,Stem,180531,16,-38.67870301,-3.295661345,
DRY_C213_SOIL_180531,DRY,C,C213,213,Soil,180531,16,-30.01643338,-3.045417692,
DRY_C219_R_180531,DRY,C,C219,219,Root,180531,16,-44.37491491,-7.262001748,
DRY_C219_S_180531,DRY,C,C219,219,Stem,180531,16,-35.86471532,-3.447593416,
DRY_C219_SOIL_180531,DRY,C,C219,219,Soil,180531,16,-28.21782438,-3.199101249,
DUMMY,CONTROL,,,,,180531,16,,,
DRY_A1_SOIL_180613,DRY,A,A1,1,Soil,180613,29,-37.87626673,-2.814970537,
DRY_A14_S_180613,DRY,A,A14,14,Stem,180613,29,-36.07912449,-2.22518212,
DRY_A14_SOIL_180613,DRY,A,A14,14,Soil,180613,29,-34.61667455,-3.518716965,
DRY_A14_ROOT_180613,DRY,A,A14,14,Root,180613,29,-37.26363848,-3.677576878,
DRY_A20_R_180613,DRY,A,A20,20,Root,180613,29,-27.23344693,-1.005906259,
DRY_A20_SOIL_180613,DRY,A,A20,20,Soil,180613,29,-31.87079474,-1.905702322,
DRY_A201_SOIL_180613,DRY,A,A201,201,Soil,180613,29,-37.8032246,-3.87456684,doubt
CONTROL_A26_R_180613,CONTROL,A,A26,26,Root,180613,29,-43.45323498,-4.869071127,
CONTROL_A26_SOIL_180613,CONTROL,A,A26,26,Soil,180613,29,-29.11632376,-3.753064938,
CONTROL_A32_SOIL_180613,CONTROL,A,A32,32,Soil,180613,29,-27.4631885,-3.870151242,
DRY_A44_R_180613,DRY,A,A44,44,Stem,180613,29,-31.00186687,0.550868658,
DRY_A44_R_180613,DRY,A,A44,44,Root,180613,29,-37.55716343,-3.319789635,
DRY_A44_SOIL_180613,DRY,A,A44,44,Soil,180613,29,-37.22921804,-0.889024758,
DRY_A45_R_180613,DRY,A,A45,45,Root,180613,29,-38.30170342,-4.415579494,
DRY_A45_S_180613,DRY,A,A45,45,Stem,180613,29,-34.28501363,-1.362222595,
DRY_A45_SOIL_180613,DRY,A,A45,45,Soil,180613,29,-38.98920171,-2.914675034,
CONTROL_A80_R_180613,CONTROL,A,A80,80,Root,180613,29,-47.83565766,-5.733062652,
CONTROL_A80_SOIL_180613,CONTROL,A,A80,80,Soil,180613,29,-30.2275316,-4.164686239,
CONTROL_A86_S_180613,CONTROL,A,A80,80,Stem,180613,29,-43.76655213,-4.139769462,
CONTROL_A86_R_180613,CONTROL,A,A86,86,Root,180613,29,-47.20933914,-6.081902649,
CONTROL_A86_R_180613,CONTROL,A,A86,86,Stem,180613,29,-38.7495459,-4.027855887,
CONTROL_A86_S_180613,CONTROL,A,A86,86,Soil,180613,29,-29.40057494,-0.883034514,
CONTROL_B110_ROCK_180613,CONTROL,B,B110,110,Rock,180613,29,-28.07446955,-4.465572757,
CONTROL_B110_ROOT_180613,CONTROL,B,B110,110,Root,180613,29,-47.21063102,-5.778772863,
CONTROL_B110_SOIL_180613,CONTROL,B,B110,110,Soil,180613,29,-33.48851782,-4.498763665,
DRY_B111_ROCK_180613,DRY,B,B111,111,Rock,180613,29,-18.80140461,-0.127427642,
DRY_SOIL_B111_180613,DRY,B,B111,111,Soil,180613,29,-35.10515062,-0.65272176,
DRY_B129_R_180531,DRY,B,B129,129,Root,180613,29,-22.6970507,0.375837515,
DRY_B129_R_180613,DRY,B,B129,129,Root,180613,29,-25.85537328,-1.598001112,
DRY_B129_ROCK_180613,DRY,B,B129,129,Rock,180613,29,-14.66084325,-0.577799971,
DRY_B129_S_180613,DRY,B,B129,129,Stem,180613,29,-31.31381066,-0.272955199,
DRY_B129_SOIL_180613,DRY,B,B129,129,Soil,180613,29,-29.98834871,-1.669099134,
DRY_B132_ROCK_180613,DRY,B,B132,132,Rock,180613,29,-14.63195788,-0.154038824,
DRY_B132_R_180613,DRY,B,B132,132,Root,180613,29,-26.39259579,-0.716350719,
DRY_B132_S_180613,DRY,B,B132,132,Stem,180613,29,-28.32924268,0.833315604,
DRY_B132_SOIL_180613,DRY,B,B132,132,Soil,180613,29,-36.79947337,-1.657121436,
CONTROL_B133_R_180613,CONTROL,B,B133,133,Root,180613,29,-37.32845512,-3.600374383,
CONTROL_B133_ROCK_180613,CONTROL,B,B133,133,Rock,180613,29,-27.22547601,-4.113650109,
CONTROL_B133_S_180613,CONTROL,B,B133,133,Stem,180613,29,-38.8417155,-3.654050577,
CONTROL_B133_SOIL_180620,CONTROL,B,B133,133,Soil,180613,29,-32.87954573,-4.674177782,
DRY_B132_R_180613,DRY,B,B135,135,Root,180613,29,-24.28877708,1.715620378,
DRY_B135_ROCK_180613,DRY,B,B135,135,Rock,180613,29,-11.66998469,0.945908046,
DRY_B135_S_180613,DRY,B,B135,135,Stem,180613,29,-20.6587055,1.216383525,
DRY_B135_SOIL_180613,DRY,B,B135,135,Soil,180613,29,-44.30922619,-1.956514272,
CONTROL_B133_S_180613,CONTROL,B,B137,137,Stem,180613,29,-43.89814325,-4.57440395,
CONTROL_B137_ROOT_180613,CONTROL,B,B137,137,Root,180613,29,-48.0707846,-6.613919142,
CONTROL_B137_SOIL_180613,CONTROL,B,B137,137,Soil,180613,29,-43.06321206,-4.995284469,
CONTROL_B141_ROCK_180613,CONTROL,B,B141,141,Rock,180613,29,-27.82192085,-4.462275139,
CONTROL_B141_R_180613,CONTROL,B,B141,141,Root,180613,29,-42.62399077,-4.840690775,
CONTROL_B141_S_180613,CONTROL,B,B141,141,Stem,180613,29,-43.96107586,-4.01388441,
CONTROL_B141_SOIL_180613,CONTROL,B,B141,141,Soil,180613,29,-49.86959457,-6.917931035,
DRY_B144_ROCK_180613,DRY,B,B144,144,Rock,180613,29,-23.93425715,-2.094868415,
DRY_B144_SOIL_180613,DRY,B,B144,144,Soil,180613,29,-36.23657689,-1.877996193,
DRY_A146_R_180613,DRY,C,C164,164,Stem,180613,29,-35.90832878,-3.540452882,
DRY_A146_R_180613,DRY,C,C164,164,Root,180613,29,-39.3046674,-3.53702596,
DRY_C164_SOIL_180613,DRY,C,C164,164,Soil,180613,29,-33.86090406,-2.00461773,
DRY_C167_R_180613,DRY,C,C167,167,Root,180613,29,-25.30474266,-0.923099413,
DRY_C167_S_180613,DRY,C,C167,167,Stem,180613,29,-28.20321956,0.131146379,
DRY_C167_SOIL_180613,DRY,C,C167,167,Soil,180613,29,-32.52744981,-2.19566318,
DRY_C168_R_180613,DRY,C,C168,168,Root,180613,29,-31.61897628,-0.381667872,
DRY_C168_R_180613,DRY,C,C168,168,Stem,180613,29,-29.52964793,-1.105810481,
DRY_C168_SOIL_180613,DRY,C,C168,168,Soil,180613,29,-37.69500238,-2.846328809,
CONTROL_C169_R_180613,CONTROL,C,C169,169,Root,180613,29,-42.71570922,-5.116935171,
CONTROL_C169_S_180613,CONTROL,C,C169,169,Stem,180613,29,-42.13679618,-4.201584088,
CONTROL_C169_SOIL_180613,CONTROL,C,C169,169,Soil,180613,29,-40.42902631,-5.758191109,
CONTROL_C177_SOIL_180613,CONTROL,C,C177,177,Soil,180613,29,-28.7686349,-3.738150532,
DRY_C182_R_180613,DRY,C,C182,182,Root,180613,29,-33.45126297,-2.041022274,
DRY_C182_S_180613,DRY,C,C182,182,Stem,180613,29,-29.74147746,-1.94828121,
DRY_C182_SOIL_180613,DRY,C,C182,182,Soil,180613,29,-37.14900599,-3.202496213,
DRY_C206_SOIL_180631,DRY,C,C206,206,Soil,180613,29,-37.66440739,-2.705369084,doubt
CONTROL_C218_R_180613,CONTROL,C,C218,218,Root,180613,29,-27.57126256,-0.856427001,
CONTROL_C218_S_180613,CONTROL,C,C218,218,Stem,180613,29,-41.03578923,-3.470498221,
CONTROL_C218_SOIL_180613,CONTROL,C,C218,218,Soil,180613,29,-41.08541774,-5.46642768,
