soilType,plantID,Date_yyyymmdd,height_cm,diam_mm
A,20,20180531,34,4.73
A,100,20180531,47,10.24
C,187,20180531,49,6.04
B,110,20180531,36,5
C,174,20180531,44,8.26
A,1,20180531,35,7.53
A,79,20180531,28.5,5.29
B,141,20180531,35,13.63
C,184,20180531,38,4.54
B,153,20180531,41,7.15
A,62,20180531,40,4.22
B,143,20180531,39.5,7.27
A,30,20180531,32.5,7.2
A,64,20180531,33,7.84
B,142,20180531,40,6.77
A,36,20180531,35,5.85
C,220,20180531,47,7.62
A,49,20180531,46,9.03
A,54,20180531,49,9.38
C,203,20180531,41,6.3
A,7,20180531,25,7.17
C,213,20180531,33,8.89
B,132,20180531,33,9.05
A,89,20180531,45,6.38
C,188,20180531,56,7.04
A,23,20180531,36,7.71
A,70,20180531,34,5.91
B,114,20180531,25.5,5.53
A,72,20180531,43,7.02
C,218,20180531,29,5.54
A,12,20180531,35,6.17
A,81,20180531,30,5.6
B,127,20180531,35,5.72
C,164,20180531,39,5.05
A,80,20180531,26,7.71
B,144,20180531,55,7.46
C,197,20180531,54,8.15
B,123,20180531,35,2.97
C,162,20180531,38,5.85
C,215,20180531,31,3.47
B,147,20180531,41,6.48
A,69,20180531,32,7.72
B,130,20180531,42,8.28
B,NA,20180531,29,4.8
C,173,20180531,36,4.6
B,106,20180531,37,7.19
A,57,20180531,38,5.91
A,60,20180531,53,5.95
B,108,20180531,42,7.19
B,155,20180531,42,7.65
C,219,20180531,41,5.84
B,131,20180531,36,6.87
C,185,20180531,39,7.83
C,202,20180531,35,6.3
B,101,20180531,45,7.6
A,32,20180531,35,5.18
A,92,20180531,36,5.99
B,115,20180531,37.5,4.93
C,178,20180531,44,7.46
A,2,20180531,37,4.66
B,122,20180531,39,4.6
C,196,20180531,31,4.04
B,111,20180531,46,6.7
C,180,20180531,29,3.77
C,167,20180531,34,5.32
C,204,20180531,32,7.54
B,158,20180531,30,3.25
